Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"1.851,00","1.860,00","1.850,00","1.850,90","0,05",1.242,2.298.820,2.298.820
14.01.2025,"1.850,00","1.850,00","1.850,00","1.850,00","-0,54",69,127.650,127.650
13.01.2025,"1.860,00","1.860,00","1.860,00","1.860,00","0,00",200,372.000,372.000
10.01.2025,"1.860,00","1.860,00","1.860,00","1.860,00","-2,06",1.000,1.860.000,7.440.000
09.01.2025,"1.899,00","1.900,00","1.899,00","1.899,12","2,66",26,49.377,49.377
08.01.2025,"1.850,00","1.850,00","1.850,00","1.850,00","-0,01",200,370.000,370.000
03.01.2025,"1.900,00","1.900,00","1.850,00","1.850,12","-0,48",401,741.900,741.900
02.01.2025,"1.859,00","1.859,00","1.859,00","1.859,00","0,00",97,180.323,180.323
30.12.2024,"1.859,00","1.859,00","1.859,00","1.859,00","2,99",3,5.577,5.577
27.12.2024,"1.810,00","1.810,00","1.790,00","1.804,95","0,53",960,1.732.750,1.732.750
26.12.2024,"1.790,00","0,00","0,00","1.795,45","0,00",0,0,0
25.12.2024,"1.790,00","1.800,00","1.790,00","1.795,45","1,06",11,19.750,19.750
24.12.2024,"1.800,00","1.800,00","1.760,00","1.776,67","-1,30",72,127.920,127.920
23.12.2024,"1.800,00","0,00","0,00","1.800,00","0,00",0,0,0
20.12.2024,"1.800,00","1.800,00","1.800,00","1.800,00","2,77",50,90.000,6.827.500
19.12.2024,"1.800,00","1.800,00","1.751,00","1.751,50","-1,05",293,513.190,513.190
18.12.2024,"1.770,00","1.770,00","1.770,00","1.770,00","2,27",50,88.500,88.500
17.12.2024,"1.731,00","1.731,00","1.730,00","1.730,66","-2,23",151,261.330,261.330
16.12.2024,"1.772,00","1.772,00","1.755,00","1.770,05","0,56",131,231.877,231.877
13.12.2024,"1.772,00","1.772,00","1.760,00","1.760,20","2,28",357,628.392,628.392
12.12.2024,"1.721,00","1.721,00","1.721,00","1.721,00","0,30",200,344.200,344.200
11.12.2024,"1.716,00","1.716,00","1.711,00","1.715,91","-1,01",6.880,11.805.485,11.805.485
10.12.2024,"1.755,00","1.755,00","1.720,00","1.733,46","1,97",65,112.675,112.675
06.12.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,63",120,204.000,204.000
05.12.2024,"1.690,00","1.690,00","1.680,00","1.689,29","2,38",140,236.500,236.500
04.12.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-1,20",50,82.500,82.500
03.12.2024,"1.670,00","0,00","0,00","1.670,00","0,00",0,0,0
02.12.2024,"1.670,00","1.670,00","1.670,00","1.670,00","0,00",99,165.330,165.330
29.11.2024,"1.670,00","1.670,00","1.670,00","1.670,00","1,21",1,1.670,1.670
28.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-0,06",590,973.500,973.500
27.11.2024,"1.651,00","1.651,00","1.651,00","1.651,00","-1,18",219,361.569,361.569
26.11.2024,"1.680,00","1.680,00","1.660,00","1.670,63","-0,01",495,826.960,4.126.960
25.11.2024,"1.660,00","1.679,00","1.660,00","1.670,86","2,44",70,116.960,116.960
22.11.2024,"1.631,00","1.631,00","1.631,00","1.631,00","-2,92",115,187.565,187.565
21.11.2024,"1.680,00","1.680,00","1.680,00","1.680,00","1,29",9,15.120,15.120
20.11.2024,"1.650,00","1.693,00","1.650,00","1.658,60","1,57",50,82.930,3.382.930
19.11.2024,"1.633,00","1.633,00","1.633,00","1.633,00","-3,49",150,244.950,244.950
18.11.2024,"1.692,00","1.692,00","1.692,00","1.692,00","2,55",40,67.680,2.722.530
15.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","0,09",500,825.000,825.000
14.11.2024,"1.650,00","0,00","0,00","1.648,45","0,00",0,0,3.260.000
13.11.2024,"1.650,00","1.650,00","1.630,00","1.648,45","-2,75",388,639.600,639.600
12.11.2024,"1.695,00","0,00","0,00","1.695,00","0,00",0,0,0
11.11.2024,"1.695,00","1.695,00","1.695,00","1.695,00","2,99",400,678.000,678.000
08.11.2024,"1.650,00","1.650,00","1.630,00","1.645,87","2,48",63,103.690,103.690
07.11.2024,"1.631,00","1.631,00","1.600,00","1.606,01","0,38",1.234,1.981.820,1.981.820
06.11.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,83",370,592.000,592.000
