Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"95.001,00","95.001,00","95.001,00","95.001,00","0,20",22,2.090.022,2.090.022
14.01.2025,"95.000,00","95.000,00","94.002,00","94.815,42","0,87",59,5.594.110,5.594.110
13.01.2025,"94.000,00","94.000,00","94.000,00","94.000,00","-0,11",18,1.692.000,1.692.000
10.01.2025,"93.999,00","0,00","0,00","94.106,00","0,00",0,0,0
09.01.2025,"93.999,00","94.500,00","93.901,00","94.106,00","0,21",16,1.505.696,1.505.696
08.01.2025,"93.999,00","93.999,00","93.800,00","93.906,12","0,02",16,1.502.498,1.502.498
03.01.2025,"93.990,00","93.990,00","93.850,00","93.890,00","1,19",7,657.230,657.230
02.01.2025,"93.100,00","0,00","0,00","92.788,89","0,00",0,0,0
30.12.2024,"93.100,00","0,00","0,00","92.788,89","0,00",0,0,0
27.12.2024,"93.100,00","93.100,00","92.500,00","92.788,89","0,31",27,2.505.300,2.505.300
26.12.2024,"92.500,00","92.500,00","92.500,00","92.500,00","0,00",13,1.202.500,1.202.500
25.12.2024,"92.500,00","92.500,00","92.500,00","92.500,00","0,00",4,370.000,370.000
24.12.2024,"92.500,00","92.500,00","92.500,00","92.500,00","0,00",2,185.000,185.000
23.12.2024,"92.500,00","0,00","0,00","92.500,00","0,00",0,0,0
20.12.2024,"92.500,00","92.500,00","92.500,00","92.500,00","0,00",6,555.000,555.000
19.12.2024,"92.500,00","92.508,00","92.500,00","92.502,67","-0,51",24,2.220.064,2.220.064
18.12.2024,"93.000,00","93.200,00","92.001,00","92.973,37","1,02",60,5.578.402,5.578.402
17.12.2024,"92.000,00","0,00","0,00","92.036,03","0,00",0,0,0
16.12.2024,"92.000,00","92.200,00","92.000,00","92.036,03","0,94",34,3.129.225,3.129.225
13.12.2024,"92.000,00","92.000,00","91.003,00","91.183,01","0,18",67,6.109.262,6.109.262
12.12.2024,"91.250,00","91.250,00","91.000,00","91.022,73","0,25",11,1.001.250,1.001.250
11.12.2024,"91.000,00","91.000,00","90.001,00","90.800,20","0,89",10,908.002,908.002
10.12.2024,"90.001,00","90.002,00","90.001,00","90.001,50","0,00",26,2.340.039,2.340.039
06.12.2024,"90.000,00","90.000,00","90.000,00","90.000,00","0,74",26,2.340.000,2.340.000
05.12.2024,"90.000,00","90.000,00","87.504,00","89.340,33","2,06",72,6.432.504,6.432.504
04.12.2024,"87.900,00","87.900,00","87.003,00","87.536,73","0,51",37,3.238.859,3.238.859
03.12.2024,"87.100,00","87.100,00","87.001,00","87.095,50","0,11",130,11.322.415,14.976.415
02.12.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,00",20,1.740.000,1.740.000
29.11.2024,"87.000,00","87.000,00","86.999,00","86.999,59","0,00",17,1.478.993,1.478.993
28.11.2024,"87.000,00","87.001,00","87.000,00","87.000,03","0,58",37,3.219.001,3.219.001
27.11.2024,"86.500,00","86.500,00","86.500,00","86.500,00","-0,57",2,173.000,173.000
26.11.2024,"87.000,00","0,00","0,00","87.000,00","0,00",0,0,0
25.11.2024,"87.000,00","87.000,00","87.000,00","87.000,00","-0,12",11,957.000,957.000
22.11.2024,"87.001,00","87.998,00","87.001,00","87.101,20","0,12",10,871.012,871.012
21.11.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,07",3,261.000,261.000
20.11.2024,"86.999,00","86.999,00","86.600,00","86.937,22","0,14",18,1.564.870,1.564.870
19.11.2024,"86.600,00","87.000,00","86.600,00","86.816,79","0,35",24,2.083.603,2.083.603
18.11.2024,"86.850,00","86.850,00","86.000,00","86.516,67","0,48",6,519.100,519.100
15.11.2024,"86.500,00","86.500,00","85.600,00","86.104,17","0,12",12,1.033.250,1.033.250
14.11.2024,"86.000,00","86.000,00","86.000,00","86.000,00","0,58",3,258.000,258.000
13.11.2024,"85.510,00","85.510,00","85.500,00","85.502,50","0,00",4,342.010,342.010
12.11.2024,"85.500,00","85.501,00","85.500,00","85.500,20","-0,29",25,2.137.505,2.137.505
11.11.2024,"85.900,00","85.900,00","85.700,00","85.750,00","0,88",4,343.000,343.000
08.11.2024,"85.001,00","85.001,00","85.001,00","85.001,00","-0,84",10,850.010,850.010
07.11.2024,"85.700,00","85.750,00","85.700,00","85.725,00","0,34",4,342.900,342.900
06.11.2024,"85.500,00","85.500,00","85.000,00","85.436,17","-0,07",47,4.015.500,4.015.500
05.11.2024,"85.499,00","85.500,00","85.499,00","85.499,50","0,00",4,341.998,33.661.998
04.11.2024,"85.500,00","85.500,00","85.499,00","85.499,91","0,00",11,940.499,940.499
01.11.2024,"85.500,00","85.500,00","85.500,00","85.500,00","0,59",15,1.282.500,1.282.500
