Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"9.100,00","0,00","0,00","9.100,00","0,00",0,0,0
14.01.2025,"9.100,00","0,00","0,00","9.100,00","0,00",0,0,0
13.01.2025,"9.100,00","9.100,00","9.100,00","9.100,00","1,56",10,91.000,91.000
10.01.2025,"8.960,00","8.960,00","8.960,00","8.960,00","0,00",156,1.397.760,1.397.760
09.01.2025,"8.960,00","0,00","0,00","8.960,00","0,00",0,0,0
08.01.2025,"8.960,00","0,00","0,00","8.960,00","0,00",0,0,0
03.01.2025,"8.960,00","8.960,00","8.960,00","8.960,00","2,99",30,268.800,268.800
02.01.2025,"8.700,00","8.700,00","8.700,00","8.700,00","2,96",81,704.700,704.700
30.12.2024,"8.400,00","0,00","0,00","8.450,00","0,00",0,0,454.917.788
27.12.2024,"8.400,00","0,00","0,00","8.450,00","0,00",0,0,0
26.12.2024,"8.400,00","0,00","0,00","8.450,00","0,00",0,0,0
25.12.2024,"8.400,00","0,00","0,00","8.450,00","0,00",0,0,0
24.12.2024,"8.400,00","0,00","0,00","8.450,00","0,00",0,0,0
23.12.2024,"8.400,00","8.850,00","8.400,00","8.450,00","-4,89",54,456.300,166.506.300
20.12.2024,"8.870,00","0,00","0,00","8.884,55","0,00",0,0,0
19.12.2024,"8.870,00","0,00","0,00","8.884,55","0,00",0,0,0
18.12.2024,"8.870,00","0,00","0,00","8.884,55","0,00",0,0,0
17.12.2024,"8.870,00","0,00","0,00","8.884,55","0,00",0,0,0
16.12.2024,"8.870,00","0,00","0,00","8.884,55","0,00",0,0,0
13.12.2024,"8.870,00","8.890,00","8.870,00","8.884,55","-9,85",11,97.730,97.730
12.12.2024,"9.855,00","0,00","0,00","9.855,00","0,00",0,0,0
11.12.2024,"9.855,00","0,00","0,00","9.855,00","0,00",0,0,0
10.12.2024,"9.855,00","0,00","0,00","9.855,00","0,00",0,0,0
06.12.2024,"9.855,00","0,00","0,00","9.855,00","0,00",0,0,0
05.12.2024,"9.855,00","0,00","0,00","9.855,00","0,00",0,0,0
04.12.2024,"9.855,00","9.855,00","9.855,00","9.855,00","-10,00",700,6.898.500,6.898.500
03.12.2024,"10.950,00","10.950,00","10.950,00","10.950,00","9,99",210,2.299.500,55.497.750
02.12.2024,"9.955,00","9.955,00","9.955,00","9.955,00","10,00",589,5.863.495,619.978.869
29.11.2024,"9.050,00","9.050,00","9.050,00","9.050,00","9,99",2.835,25.656.750,119.352.958
28.11.2024,"8.228,00","8.228,00","8.228,00","8.228,00","9,99",2.347,19.311.116,19.311.116
27.11.2024,"7.500,00","7.500,00","7.400,00","7.480,39","0,76",879,6.575.260,12.156.840
26.11.2024,"7.400,00","7.550,00","7.300,00","7.423,88","-3,57",160,1.187.820,1.187.820
25.11.2024,"7.699,00","7.699,00","7.699,00","7.699,00","0,00",78,600.522,600.522
22.11.2024,"7.699,00","0,00","0,00","7.699,00","0,00",0,0,0
21.11.2024,"7.699,00","0,00","0,00","7.699,00","0,00",0,0,0
20.11.2024,"7.699,00","7.699,00","7.699,00","7.699,00","1,58",781,6.012.919,6.012.919
19.11.2024,"7.300,00","7.700,00","7.300,00","7.579,57","1,04",93,704.900,418.691.507
18.11.2024,"7.500,00","7.505,00","7.500,00","7.501,25","-6,23",60,450.075,450.075
15.11.2024,"8.000,00","0,00","0,00","8.000,00","0,00",0,0,0
14.11.2024,"8.000,00","0,00","0,00","8.000,00","0,00",0,0,0
13.11.2024,"8.000,00","0,00","0,00","8.000,00","0,00",0,0,0
12.11.2024,"8.000,00","0,00","0,00","8.000,00","0,00",0,0,415.321.604
11.11.2024,"8.000,00","0,00","0,00","8.000,00","0,00",0,0,0
