Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
22.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
18.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
17.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
16.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
15.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
12.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
11.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
10.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
09.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
05.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
04.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
03.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
02.01.2024,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
28.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
27.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
26.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
25.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
22.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
21.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
20.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
19.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
18.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
15.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
14.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
13.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
12.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
11.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
07.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
06.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
05.12.2023,"4.990,00","0,00","0,00","4.990,00","0,00",0,0,0
04.12.2023,"4.990,00","4.990,00","4.990,00","4.990,00","5,05",10,49.900,49.900
01.12.2023,"4.750,00","0,00","0,00","4.750,00","0,00",0,0,0
30.11.2023,"4.750,00","0,00","0,00","4.750,00","0,00",0,0,0
29.11.2023,"4.750,00","0,00","0,00","4.750,00","0,00",0,0,0
28.11.2023,"4.750,00","0,00","0,00","4.750,00","0,00",0,0,0
27.11.2023,"4.750,00","0,00","0,00","4.750,00","0,00",0,0,0
24.11.2023,"4.750,00","0,00","0,00","4.750,00","0,00",0,0,0
23.11.2023,"4.750,00","4.750,00","4.750,00","4.750,00","0,44",57,270.750,270.750
22.11.2023,"4.700,00","0,00","0,00","4.729,07","0,00",0,0,0
21.11.2023,"4.700,00","0,00","0,00","4.729,07","0,00",0,0,0
20.11.2023,"4.700,00","0,00","0,00","4.729,07","0,00",0,0,0
17.11.2023,"4.700,00","4.750,00","4.700,00","4.729,07","2,01",43,203.350,203.350
16.11.2023,"4.601,00","0,00","0,00","4.636,08","0,00",0,0,0
15.11.2023,"4.601,00","0,00","0,00","4.636,08","0,00",0,0,0
14.11.2023,"4.601,00","4.753,00","4.601,00","4.636,08","-5,38",26,120.538,120.538
13.11.2023,"4.900,00","4.900,00","4.899,00","4.899,71","2,76",17,83.295,83.295
10.11.2023,"4.768,00","0,00","0,00","4.768,00","0,00",0,0,0
09.11.2023,"4.768,00","4.768,00","4.768,00","4.768,00","0,00",13,61.984,61.984
08.11.2023,"4.768,00","4.768,00","4.768,00","4.768,00","-9,89",25,119.200,119.200
07.11.2023,"5.300,00","0,00","0,00","5.291,35","0,00",0,0,0
06.11.2023,"5.300,00","5.300,00","5.290,00","5.291,35","-9,97",37,195.780,195.780
03.11.2023,"5.877,00","0,00","0,00","5.877,00","0,00",0,0,0
02.11.2023,"5.877,00","0,00","0,00","5.877,00","0,00",0,0,0
01.11.2023,"5.877,00","0,00","0,00","5.877,00","0,00",0,0,0
31.10.2023,"5.877,00","5.877,00","5.877,00","5.877,00","-0,37",20,117.540,11.992.760
30.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
27.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
26.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
25.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
24.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
20.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
19.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
18.10.2023,"5.899,00","0,00","0,00","5.899,00","0,00",0,0,0
17.10.2023,"5.899,00","5.899,00","5.899,00","5.899,00","-0,02",50,294.950,294.950
16.10.2023,"5.900,00","5.900,00","5.900,00","5.900,00","7,31",1,5.900,5.900
13.10.2023,"5.499,00","5.499,00","5.498,00","5.498,32","-9,42",31,170.448,170.448
12.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
10.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
09.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
06.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
05.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
04.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
03.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
02.10.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
29.09.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
28.09.2023,"6.077,00","0,00","0,00","6.070,30","0,00",0,0,0
27.09.2023,"6.077,00","6.077,00","6.050,00","6.070,30","-0,45",137,831.631,831.631
26.09.2023,"6.080,00","0,00","0,00","6.097,84","0,00",0,0,0
25.09.2023,"6.080,00","0,00","0,00","6.097,84","0,00",0,0,0
22.09.2023,"6.080,00","0,00","0,00","6.097,84","0,00",0,0,0
21.09.2023,"6.080,00","0,00","0,00","6.097,84","0,00",0,0,0
20.09.2023,"6.080,00","0,00","0,00","6.097,84","0,00",0,0,0
19.09.2023,"6.080,00","6.099,00","6.080,00","6.097,84","1,63",197,1.201.275,1.201.275
18.09.2023,"6.000,00","6.000,00","6.000,00","6.000,00","3,39",2,12.000,12.000
15.09.2023,"6.108,00","0,00","0,00","5.803,12","0,00",0,0,0
14.09.2023,"6.108,00","6.109,00","5.600,00","5.803,12","4,33",176,1.021.349,1.021.349
13.09.2023,"5.699,00","5.831,00","5.360,00","5.562,22","2,15",476,2.647.616,2.647.616
12.09.2023,"5.468,00","0,00","0,00","5.445,30","0,00",0,0,0
11.09.2023,"5.468,00","5.468,00","5.399,00","5.445,30","-0,07",94,511.858,511.858
07.09.2023,"5.447,00","5.450,00","5.447,00","5.448,94","9,57",17,92.632,92.632
06.09.2023,"4.987,00","4.987,00","4.850,00","4.972,92","9,68",306,1.521.712,1.521.712
05.09.2023,"4.535,00","4.535,00","4.529,00","4.534,06","9,96",254,1.151.650,1.151.650
04.09.2023,"4.144,00","4.144,00","4.100,00","4.123,53","5,99",187,771.100,771.100
01.09.2023,"3.900,00","3.900,00","3.870,00","3.890,51","0,01",156,606.920,606.920
31.08.2023,"3.890,00","0,00","0,00","3.890,00","0,00",0,0,0
30.08.2023,"3.890,00","0,00","0,00","3.890,00","0,00",0,0,0
29.08.2023,"3.890,00","0,00","0,00","3.890,00","0,00",0,0,0
25.08.2023,"3.890,00","3.890,00","3.890,00","3.890,00","0,00",25,97.250,97.250
24.08.2023,"3.890,00","3.890,00","3.890,00","3.890,00","-0,17",25,97.250,97.250
23.08.2023,"3.897,00","0,00","0,00","3.896,71","0,00",0,0,0
22.08.2023,"3.897,00","3.897,00","3.896,00","3.896,71","2,99",21,81.831,81.831
21.08.2023,"3.790,00","0,00","0,00","3.783,75","0,00",0,0,0
18.08.2023,"3.790,00","3.790,00","3.780,00","3.783,75","0,40",80,302.700,302.700
17.08.2023,"3.770,00","3.770,00","3.768,00","3.768,50","1,90",40,150.740,150.740
16.08.2023,"3.700,00","0,00","0,00","3.698,31","0,00",0,0,0
15.08.2023,"3.700,00","3.700,00","3.690,00","3.698,31","0,90",118,436.400,436.400
14.08.2023,"3.696,00","3.696,00","3.645,00","3.665,40","9,09",50,183.270,183.270
11.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
10.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
09.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
08.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
07.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
04.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
03.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
01.08.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
31.07.2023,"3.360,00","0,00","0,00","3.360,00","0,00",0,0,0
28.07.2023,"3.360,00","3.360,00","3.360,00","3.360,00","1,82",25,84.000,84.000
27.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
26.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
25.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
24.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
21.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
20.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
19.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
18.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
17.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
14.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
13.07.2023,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",10,33.000,33.000
12.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
11.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
10.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
07.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
06.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
05.07.2023,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",45,148.500,148.500
04.07.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
03.07.2023,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",10,33.000,33.000
30.06.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
29.06.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
28.06.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
27.06.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
26.06.2023,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
23.06.2023,"3.300,00","3.300,00","3.300,00","3.300,00","-2,94",10,33.000,33.000
22.06.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
21.06.2023,"3.400,00","3.400,00","3.400,00","3.400,00","0,00",24,81.600,81.600
20.06.2023,"3.400,00","3.400,00","3.400,00","3.400,00","-2,86",6,20.400,20.400
19.06.2023,"3.500,00","0,00","0,00","3.500,00","0,00",0,0,0
16.06.2023,"3.500,00","0,00","0,00","3.500,00","0,00",0,0,0
15.06.2023,"3.500,00","3.500,00","3.500,00","3.500,00","1,45",20,70.000,70.000
14.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
13.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
12.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
09.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
08.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
07.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
06.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
05.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
01.06.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
31.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
30.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
29.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
26.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
25.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
23.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
22.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
19.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
18.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
17.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
16.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
15.05.2023,"3.450,00","0,00","0,00","3.450,00","0,00",0,0,0
12.05.2023,"3.450,00","3.450,00","3.450,00","3.450,00","1,47",43,148.350,148.350
11.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
10.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
09.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
08.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
05.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
04.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
03.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
02.05.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
28.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
27.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
26.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
25.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
24.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
20.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
19.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
18.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
13.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
12.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
11.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
10.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
07.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
06.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
05.04.2023,"3.400,00","0,00","0,00","3.400,00","0,00",0,0,0
04.04.2023,"3.400,00","3.400,00","3.400,00","3.400,00","1,49",82,278.800,278.800
03.04.2023,"3.350,00","0,00","0,00","3.350,00","0,00",0,0,0
31.03.2023,"3.350,00","0,00","0,00","3.350,00","0,00",0,0,0
30.03.2023,"3.350,00","3.350,00","3.350,00","3.350,00","0,00",70,234.500,234.500
29.03.2023,"3.350,00","3.350,00","3.350,00","3.350,00","0,00",20,67.000,67.000
28.03.2023,"3.350,00","3.350,00","3.350,00","3.350,00","-1,76",49,164.150,164.150
27.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
24.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
23.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
22.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
21.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
20.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
17.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
16.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
15.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
14.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
13.03.2023,"3.410,00","3.410,00","3.410,00","3.410,00","0,00",25,85.250,85.250
10.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
09.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
08.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
07.03.2023,"3.410,00","0,00","0,00","3.410,00","0,00",0,0,0
