Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"36.000,00","36.000,00","36.000,00","36.000,00","0,00",5,180.000,180.000
14.01.2025,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
13.01.2025,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
10.01.2025,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
09.01.2025,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
08.01.2025,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
03.01.2025,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
02.01.2025,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
30.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
27.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
26.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
25.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
24.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
23.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
20.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
19.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
18.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,0
17.12.2024,"36.000,00","0,00","0,00","36.000,00","0,00",0,0,5.256.000
16.12.2024,"36.000,00","36.000,00","36.000,00","36.000,00","2,53",77,2.772.000,2.772.000
13.12.2024,"35.110,00","35.110,00","35.110,00","35.110,00","0,31",2,70.220,70.220
12.12.2024,"35.001,00","35.001,00","35.001,00","35.001,00","0,00",4,140.004,140.004
11.12.2024,"35.000,00","0,00","0,00","35.000,00","0,00",0,0,0
10.12.2024,"35.000,00","0,00","0,00","35.000,00","0,00",0,0,0
06.12.2024,"35.000,00","35.000,00","35.000,00","35.000,00","-0,03",4,140.000,140.000
