Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
14.01.2025,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
13.01.2025,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",100,300.000,300.000
10.01.2025,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
09.01.2025,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
08.01.2025,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
03.01.2025,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
02.01.2025,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
30.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
27.12.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",30,90.000,90.000
26.12.2024,"3.000,00","3.000,00","3.000,00","3.000,00","-0,03",40,120.000,120.000
25.12.2024,"3.001,00","3.001,00","3.001,00","3.001,00","0,03",32,96.032,96.032
24.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
23.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
20.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
19.12.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",17,51.000,51.000
18.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
17.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
16.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
13.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
12.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
11.12.2024,"3.000,00","0,00","0,00","3.000,00","0,00",0,0,0
10.12.2024,"3.000,00","3.000,00","3.000,00","3.000,00","-9,09",24,72.000,72.000
06.12.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
05.12.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
04.12.2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",456,1.504.800,1.504.800
03.12.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
02.12.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
29.11.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
28.11.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
27.11.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
26.11.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
25.11.2024,"3.300,00","0,00","0,00","3.300,00","0,00",0,0,0
