Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
22.01.2024,"138,00","138,00","138,00","138,00","-0,72",558,77.004,77.004
18.01.2024,"139,00","139,00","139,00","139,00","-0,56",1.427,198.353,198.353
17.01.2024,"139,00","141,00","139,00","139,78","-3,60",2.303,321.917,321.917
16.01.2024,"145,00","0,00","0,00","145,00","0,00",0,0,0
15.01.2024,"145,00","0,00","0,00","145,00","0,00",0,0,0
12.01.2024,"145,00","145,00","145,00","145,00","0,00",237,34.365,34.365
11.01.2024,"145,00","0,00","0,00","145,00","0,00",0,0,0
10.01.2024,"145,00","0,00","0,00","145,00","0,00",0,0,0
09.01.2024,"145,00","145,00","145,00","145,00","0,74",2.595,376.275,376.275
05.01.2024,"145,00","152,00","140,00","143,93","3,55",2.700,388.600,388.600
04.01.2024,"139,00","139,00","139,00","139,00","6,92",928,128.992,128.992
03.01.2024,"130,00","130,00","130,00","130,00","2,36",1.022,132.860,132.860
02.01.2024,"127,00","127,00","127,00","127,00","0,00",578,73.406,73.406
28.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
27.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
26.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
25.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
22.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
21.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
20.12.2023,"127,00","127,00","127,00","127,00","0,00",65,8.255,8.255
19.12.2023,"127,00","127,00","127,00","127,00","0,00",485,61.595,61.595
18.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
15.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
14.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
13.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
12.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
11.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
07.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
06.12.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
05.12.2023,"127,00","127,00","127,00","127,00","-0,78",1.548,196.596,196.596
04.12.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
01.12.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
30.11.2023,"128,00","128,00","128,00","128,00","0,00",207,26.496,26.496
29.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
28.11.2023,"128,00","128,00","128,00","128,00","0,77",1.326,169.728,169.728
27.11.2023,"128,00","0,00","0,00","127,02","0,00",0,0,0
24.11.2023,"128,00","128,00","125,00","127,02","0,02",7.468,948.611,948.611
23.11.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
22.11.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
21.11.2023,"127,00","127,00","127,00","127,00","0,00",1.200,152.400,152.400
20.11.2023,"127,00","127,00","127,00","127,00","0,00",1.543,195.961,195.961
17.11.2023,"127,00","127,00","127,00","127,00","0,00",11.704,1.486.408,1.486.408
16.11.2023,"127,00","127,00","127,00","127,00","0,00",1.192,151.384,151.384
15.11.2023,"127,00","127,00","127,00","127,00","-0,50",1.000,127.000,127.000
14.11.2023,"128,00","0,00","0,00","127,64","0,00",0,0,0
13.11.2023,"128,00","0,00","0,00","127,64","0,00",0,0,0
10.11.2023,"128,00","128,00","125,00","127,64","-0,28",4.500,574.390,574.390
09.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
08.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
07.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
06.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
03.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
02.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
01.11.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
31.10.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
30.10.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
27.10.2023,"128,00","0,00","0,00","128,00","0,00",0,0,0
26.10.2023,"128,00","128,00","128,00","128,00","0,79",7.700,985.600,985.600
25.10.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
24.10.2023,"127,00","127,00","127,00","127,00","-1,55",5.150,654.050,654.050
20.10.2023,"129,00","0,00","0,00","129,00","0,00",0,0,0
19.10.2023,"129,00","0,00","0,00","129,00","0,00",0,0,0
18.10.2023,"129,00","129,00","129,00","129,00","0,89",1.635,210.915,210.915
17.10.2023,"127,00","128,00","127,00","127,86","-0,71",702,89.756,89.756
16.10.2023,"129,00","129,00","128,00","128,77","-0,79",900,115.895,115.895
13.10.2023,"130,00","0,00","0,00","129,79","0,00",0,0,0
12.10.2023,"130,00","0,00","0,00","129,79","0,00",0,0,0
10.10.2023,"130,00","0,00","0,00","129,79","0,00",0,0,0
09.10.2023,"130,00","0,00","0,00","129,79","0,00",0,0,0
06.10.2023,"130,00","0,00","0,00","129,79","0,00",0,0,0
05.10.2023,"130,00","130,00","129,00","129,79","0,07",900,116.810,116.810
04.10.2023,"130,00","130,00","129,00","129,70","2,13",1.345,174.452,174.452
03.10.2023,"127,00","0,00","0,00","127,00","0,00",0,0,0
