Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"409,00","410,00","409,00","409,50","-0,12",400,163.800,163.800
14.01.2025,"410,00","410,00","410,00","410,00","0,22",830,340.300,340.300
13.01.2025,"410,00","410,00","407,00","409,08","-0,01",199,81.407,81.407
10.01.2025,"410,00","410,00","407,00","409,14","1,26",1.323,541.290,541.290
09.01.2025,"404,00","412,00","401,00","404,03","1,01",2.429,981.382,981.382
08.01.2025,"400,00","0,00","0,00","400,00","0,00",0,0,0
03.01.2025,"400,00","0,00","0,00","400,00","0,00",0,0,0
02.01.2025,"400,00","0,00","0,00","400,00","0,00",0,0,0
30.12.2024,"400,00","400,00","400,00","400,00","0,00",950,380.000,380.000
27.12.2024,"400,00","400,00","400,00","400,00","0,00",9.000,3.600.000,5.600.000
26.12.2024,"400,00","400,00","400,00","400,00","0,50",2.423,969.200,2.969.200
25.12.2024,"398,00","398,00","398,00","398,00","-0,50",272,108.256,6.108.256
24.12.2024,"400,00","400,00","400,00","400,00","0,00",1.204,481.600,2.881.600
23.12.2024,"400,00","400,00","400,00","400,00","0,20",793,317.200,317.200
20.12.2024,"400,00","400,00","395,00","399,19","-0,20",3.570,1.425.100,1.425.100
19.12.2024,"400,00","405,00","400,00","400,01","0,00",2.470,988.025,988.025
18.12.2024,"400,00","400,00","400,00","400,00","0,00",4.370,1.748.000,1.748.000
17.12.2024,"400,00","0,00","0,00","400,00","0,00",0,0,0
16.12.2024,"400,00","400,00","400,00","400,00","0,00",6.178,2.471.200,2.471.200
13.12.2024,"400,00","400,00","400,00","400,00","-0,04",2.360,944.000,944.000
12.12.2024,"400,00","405,00","400,00","400,17","0,04",4.104,1.642.305,1.642.305
11.12.2024,"400,00","400,00","400,00","400,00","-0,20",1.055,422.000,422.000
10.12.2024,"400,00","401,00","400,00","400,82","0,17",1.847,740.317,740.317
06.12.2024,"400,00","401,00","400,00","400,14","0,01",8.017,3.207.897,3.207.897
05.12.2024,"400,00","405,00","400,00","400,10","0,02",2.105,842.200,842.200
04.12.2024,"400,00","400,00","400,00","400,00","-0,07",800,320.000,320.000
03.12.2024,"400,00","401,00","400,00","400,30","0,07",9.319,3.730.380,3.730.380
02.12.2024,"400,00","401,00","400,00","400,03","-0,01",1.146,458.440,458.440
29.11.2024,"405,00","405,00","400,00","400,06","-0,03",1.790,716.100,716.100
28.11.2024,"400,00","404,00","400,00","400,18","-0,90",912,364.968,364.968
27.11.2024,"403,00","404,00","403,00","403,80","-0,45",1.250,504.750,504.750
26.11.2024,"406,00","406,00","403,00","405,64","0,16",1.234,500.554,500.554
25.11.2024,"405,00","405,00","405,00","405,00","0,00",361,146.205,146.205
22.11.2024,"405,00","405,00","405,00","405,00","-0,36",47,19.035,19.035
21.11.2024,"405,00","409,00","405,00","406,45","0,03",1.809,735.272,735.272
20.11.2024,"405,00","409,00","405,00","406,33","0,26",450,182.850,182.850
19.11.2024,"405,00","410,00","405,00","405,26","-0,73",1.150,466.050,466.050
18.11.2024,"408,00","409,00","408,00","408,23","-0,05",130,53.070,53.070
15.11.2024,"408,00","409,00","408,00","408,42","-0,36",173,70.657,70.657
14.11.2024,"407,00","410,00","407,00","409,89","0,22",1.332,545.970,545.970
13.11.2024,"409,00","409,00","409,00","409,00","-0,01",215,87.935,87.935
12.11.2024,"410,00","410,00","405,00","409,03","0,01",3.135,1.282.315,1.282.315
11.11.2024,"409,00","409,00","409,00","409,00","0,13",260,106.340,106.340
08.11.2024,"410,00","410,00","407,00","408,47","-0,44",1.146,468.110,468.110
07.11.2024,"410,00","411,00","410,00","410,29","-1,13",700,287.200,287.200
06.11.2024,"415,00","415,00","415,00","415,00","-0,72",504,209.160,209.160
05.11.2024,"418,00","418,00","418,00","418,00","-0,48",13,5.434,5.434
04.11.2024,"420,00","0,00","0,00","420,00","0,00",0,0,0
01.11.2024,"420,00","420,00","420,00","420,00","2,42",164,68.880,68.880
31.10.2024,"410,00","420,00","410,00","410,07","-1,43",1.452,595.420,595.420
30.10.2024,"417,00","420,00","415,00","416,02","-2,57",5.064,2.106.748,2.106.748
29.10.2024,"427,00","0,00","0,00","427,00","0,00",0,0,0
28.10.2024,"427,00","427,00","427,00","427,00","2,15",15,6.405,6.405
25.10.2024,"418,00","418,00","418,00","418,00","-2,56",412,172.216,172.216
24.10.2024,"429,00","429,00","429,00","429,00","-0,23",135,57.915,57.915
22.10.2024,"430,00","0,00","0,00","430,00","0,00",0,0,0
21.10.2024,"430,00","0,00","0,00","430,00","0,00",0,0,0
18.10.2024,"430,00","430,00","430,00","430,00","2,04",38,16.340,16.340
17.10.2024,"415,00","0,00","0,00","421,42","0,00",0,0,0
16.10.2024,"415,00","436,00","415,00","421,42","-3,57",288,121.368,121.368
15.10.2024,"437,00","0,00","0,00","437,00","0,00",0,0,0
14.10.2024,"437,00","0,00","0,00","437,00","0,00",0,0,0
10.10.2024,"437,00","437,00","437,00","437,00","0,00",50,21.850,21.850
09.10.2024,"437,00","0,00","0,00","437,00","0,00",0,0,0
08.10.2024,"437,00","437,00","437,00","437,00","7,90",100,43.700,43.700
07.10.2024,"405,00","405,00","405,00","405,00","0,29",200,81.000,81.000
04.10.2024,"400,00","415,00","400,00","403,83","-1,50",600,242.300,242.300
03.10.2024,"410,00","410,00","410,00","410,00","-1,20",200,82.000,82.000
02.10.2024,"415,00","415,00","415,00","415,00","1,11",1.435,595.525,595.525
01.10.2024,"410,00","415,00","410,00","410,45","0,14",220,90.300,90.300
30.09.2024,"415,00","0,00","0,00","409,86","0,00",0,0,0
27.09.2024,"415,00","415,00","409,00","409,86","1,20",350,143.450,143.450
26.09.2024,"405,00","405,00","405,00","405,00","1,17",140,56.700,56.700
25.09.2024,"400,00","0,00","0,00","400,33","0,00",0,0,0
24.09.2024,"400,00","405,00","400,00","400,33","-2,36",750,300.250,300.250
23.09.2024,"410,00","410,00","410,00","410,00","0,00",100,41.000,41.000
20.09.2024,"410,00","0,00","0,00","410,00","0,00",0,0,0
19.09.2024,"410,00","410,00","410,00","410,00","0,00",234,95.940,95.940
18.09.2024,"410,00","410,00","410,00","410,00","1,23",88,36.080,36.080
17.09.2024,"405,00","405,00","405,00","405,00","-0,31",1.904,771.120,771.120
