Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
20.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
18.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
17.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
16.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
13.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
12.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
11.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
10.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
09.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
05.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
04.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
03.01.2023,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
29.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",350,875.000,875.000
28.12.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
27.12.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
26.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","0,04",750,1.875.000,1.875.000
23.12.2022,"2.499,00","2.499,00","2.499,00","2.499,00","-0,04",20,49.980,49.980
22.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","4,17",229,572.500,572.500
21.12.2022,"2.400,00","0,00","0,00","2.400,00","0,00",0,0,0
20.12.2022,"2.400,00","2.400,00","2.400,00","2.400,00","-4,00",89,213.600,213.600
19.12.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
16.12.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
15.12.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
14.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",260,650.000,650.000
13.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",200,500.000,500.000
12.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","-2,91",75,187.500,187.500
09.12.2022,"2.575,00","2.575,00","2.575,00","2.575,00","3,00",58,149.350,149.350
07.12.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
06.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","3,09",282,705.000,705.000
05.12.2022,"2.425,00","2.425,00","2.425,00","2.425,00","0,00",40,97.000,97.000
02.12.2022,"2.425,00","0,00","0,00","2.425,00","0,00",0,0,0
01.12.2022,"2.425,00","0,00","0,00","2.425,00","0,00",0,0,0
30.11.2022,"2.425,00","0,00","0,00","2.425,00","0,00",0,0,0
29.11.2022,"2.425,00","0,00","0,00","2.425,00","0,00",0,0,0
28.11.2022,"2.425,00","0,00","0,00","2.425,00","0,00",0,0,0
25.11.2022,"2.425,00","0,00","0,00","2.425,00","0,00",0,0,0
24.11.2022,"2.425,00","2.425,00","2.425,00","2.425,00","-3,00",200,485.000,485.000
23.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
22.11.2022,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",20,50.000,50.000
21.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
18.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
17.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
16.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
15.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
14.11.2022,"2.500,00","2.500,00","2.500,00","2.500,00","1,13",10,25.000,25.000
11.11.2022,"2.472,00","2.472,00","2.472,00","2.472,00","3,00",290,716.880,716.880
10.11.2022,"2.400,00","0,00","0,00","2.400,00","0,00",0,0,0
09.11.2022,"2.400,00","0,00","0,00","2.400,00","0,00",0,0,0
08.11.2022,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",84,201.600,201.600
07.11.2022,"2.400,00","0,00","0,00","2.400,00","0,00",0,0,0
04.11.2022,"2.400,00","2.400,00","2.400,00","2.400,00","-4,00",18,43.200,43.200
03.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
02.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
01.11.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
31.10.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
28.10.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
27.10.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
26.10.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
25.10.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
21.10.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
20.10.2022,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",171,427.500,427.500
19.10.2022,"2.500,00","2.500,00","2.500,00","2.500,00","10,28",15,37.500,37.500
18.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
17.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
14.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
13.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
12.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
10.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
07.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
06.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
05.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
04.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
03.10.2022,"2.267,00","0,00","0,00","2.267,00","0,00",0,0,0
30.09.2022,"2.267,00","2.267,00","2.267,00","2.267,00","0,00",44,99.748,99.748
29.09.2022,"2.267,00","2.267,00","2.267,00","2.267,00","2,91",6,13.602,13.602
28.09.2022,"2.203,00","2.203,00","2.203,00","2.203,00","0,09",60,132.180,132.180
27.09.2022,"2.201,00","2.201,00","2.201,00","2.201,00","-14,36",10,22.010,22.010
26.09.2022,"2.570,00","0,00","0,00","2.570,00","0,00",0,0,0
23.09.2022,"2.570,00","0,00","0,00","2.570,00","0,00",0,0,0
22.09.2022,"2.570,00","2.570,00","2.570,00","2.570,00","11,16",5,12.850,12.850
21.09.2022,"2.312,00","2.312,00","2.312,00","2.312,00","-10,21",84,194.208,194.208
20.09.2022,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",58,149.350,149.350
19.09.2022,"2.575,00","2.575,00","2.575,00","2.575,00","3,00",50,128.750,128.750
16.09.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
15.09.2022,"2.500,00","0,00","0,00","2.500,00","0,00",0,0,0
14.09.2022,"2.500,00","2.500,00","2.500,00","2.500,00","9,65",10,25.000,25.000
13.09.2022,"2.280,00","2.280,00","2.280,00","2.280,00","1,33",32,72.960,72.960
12.09.2022,"2.250,00","2.250,00","2.250,00","2.250,00","-2,17",18,40.500,40.500
09.09.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
07.09.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,9.200.000
06.09.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
05.09.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
02.09.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
01.09.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
31.08.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
30.08.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
29.08.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
26.08.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
25.08.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
24.08.2022,"2.300,00","0,00","0,00","2.300,00","0,00",0,0,0
23.08.2022,"2.300,00","2.300,00","2.300,00","2.300,00","-1,84",4.000,9.200.000,9.200.000
22.08.2022,"2.343,00","2.343,00","2.343,00","2.343,00","10,00",10,23.430,23.430
19.08.2022,"2.130,00","0,00","0,00","2.130,00","0,00",0,0,0
18.08.2022,"2.130,00","0,00","0,00","2.130,00","0,00",0,0,0
17.08.2022,"2.130,00","0,00","0,00","2.130,00","0,00",0,0,0
16.08.2022,"2.130,00","2.130,00","2.130,00","2.130,00","-2,87",35,74.550,74.550
