Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
14.01.2025,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
13.01.2025,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
10.01.2025,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
09.01.2025,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
08.01.2025,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
03.01.2025,"6.500,00","6.500,00","6.500,00","6.500,00","0,00",64,416.000,416.000
02.01.2025,"6.500,00","6.500,00","6.500,00","6.500,00","0,00",42,273.000,273.000
30.12.2024,"6.500,00","6.500,00","6.500,00","6.500,00","-2,99",10,65.000,65.000
27.12.2024,"6.700,00","0,00","0,00","6.700,00","0,00",0,0,0
26.12.2024,"6.700,00","0,00","0,00","6.700,00","0,00",0,0,0
25.12.2024,"6.700,00","0,00","0,00","6.700,00","0,00",0,0,0
24.12.2024,"6.700,00","6.700,00","6.700,00","6.700,00","3,08",1,6.700,6.700
23.12.2024,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
20.12.2024,"6.500,00","0,00","0,00","6.500,00","0,00",0,0,0
19.12.2024,"6.500,00","6.500,00","6.500,00","6.500,00","-0,17",11,71.500,71.500
18.12.2024,"6.511,00","6.511,00","6.511,00","6.511,00","0,17",11,71.621,71.621
17.12.2024,"6.500,00","6.500,00","6.500,00","6.500,00","-2,99",11,71.500,71.500
16.12.2024,"6.700,00","0,00","0,00","6.700,00","0,00",0,0,0
13.12.2024,"6.700,00","0,00","0,00","6.700,00","0,00",0,0,0
12.12.2024,"6.700,00","0,00","0,00","6.700,00","0,00",0,0,0
11.12.2024,"6.700,00","0,00","0,00","6.700,00","0,00",0,0,0
10.12.2024,"6.700,00","6.700,00","6.700,00","6.700,00","1,52",13,87.100,87.100
06.12.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,8.712.000
05.12.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
04.12.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
03.12.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
02.12.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
29.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
28.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
27.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
26.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
25.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
22.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
21.11.2024,"6.600,00","6.600,00","6.600,00","6.600,00","0,00",8,52.800,52.800
20.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
19.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
18.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
15.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
14.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
13.11.2024,"6.600,00","0,00","0,00","6.600,00","0,00",0,0,0
