Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
22.01.2024,"29.950,00","29.950,00","29.950,00","29.950,00","0,00",10,299.500,299.500
18.01.2024,"29.950,00","29.950,00","29.949,00","29.949,20","-0,14",10,299.492,299.492
17.01.2024,"29.950,00","29.997,00","29.950,00","29.990,17","-0,01",228,6.837.759,6.837.759
16.01.2024,"29.899,00","29.997,00","29.899,00","29.993,14","0,05",224,6.718.463,6.718.463
15.01.2024,"29.989,00","29.998,00","29.900,00","29.979,24","-0,04",72,2.158.505,2.158.505
12.01.2024,"29.989,00","29.999,00","29.989,00","29.990,52","-0,02",77,2.309.270,2.309.270
11.01.2024,"29.996,00","29.997,00","29.995,00","29.995,90","0,15",275,8.248.872,8.248.872
10.01.2024,"29.950,00","29.950,00","29.950,00","29.950,00","-0,15",4,119.800,119.800
09.01.2024,"29.993,00","29.999,00","29.993,00","29.994,16","-0,01",179,5.368.955,5.368.955
05.01.2024,"29.996,00","29.999,00","29.996,00","29.996,24","0,00",135,4.049.492,4.049.492
04.01.2024,"29.996,00","29.997,00","29.940,00","29.995,20","0,32",160,4.799.232,4.799.232
03.01.2024,"29.935,00","29.945,00","29.898,00","29.900,92","0,52",83,2.481.776,2.481.776
02.01.2024,"29.794,00","29.794,00","29.670,00","29.747,50","0,70",8,237.980,237.980
28.12.2023,"29.595,00","29.595,00","29.500,00","29.539,32","0,15",132,3.899.190,3.899.190
27.12.2023,"29.495,00","29.498,00","29.494,00","29.496,47","0,23",214,6.312.244,6.312.244
26.12.2023,"29.499,00","29.499,00","29.350,00","29.428,29","0,27",106,3.119.399,3.119.399
25.12.2023,"29.350,00","29.350,00","29.350,00","29.350,00","0,51",21,616.350,616.350
22.12.2023,"29.200,00","29.200,00","29.200,00","29.200,00","0,00",100,2.920.000,2.920.000
21.12.2023,"29.200,00","29.200,00","29.200,00","29.200,00","0,47",3,87.600,87.600
20.12.2023,"29.100,00","29.100,00","28.960,00","29.063,71","0,22",189,5.493.041,5.493.041
19.12.2023,"29.000,00","0,00","0,00","29.000,04","0,00",0,0,0
18.12.2023,"29.000,00","0,00","0,00","29.000,04","0,00",0,0,0
15.12.2023,"29.000,00","29.002,00","29.000,00","29.000,04","-0,63",114,3.306.004,3.306.004
14.12.2023,"29.166,00","29.200,00","29.166,00","29.183,00","-0,06",20,583.660,583.660
13.12.2023,"29.200,00","29.200,00","29.200,00","29.200,00","0,00",126,3.679.200,3.679.200
12.12.2023,"29.200,00","0,00","0,00","29.200,04","0,00",0,0,0
11.12.2023,"29.200,00","29.201,00","29.200,00","29.200,04","0,00",50,1.460.002,1.460.002
07.12.2023,"29.200,00","29.200,00","29.200,00","29.200,00","-0,66",4,116.800,116.800
06.12.2023,"29.390,00","29.400,00","29.390,00","29.395,00","0,14",10,293.950,293.950
05.12.2023,"29.400,00","29.400,00","29.300,00","29.353,30","0,33",288,8.453.750,8.453.750
04.12.2023,"29.299,00","29.299,00","29.250,00","29.255,84","0,16",109,3.188.887,3.188.887
01.12.2023,"29.200,00","29.269,00","29.200,00","29.209,52","0,64",29,847.076,847.076
30.11.2023,"29.200,00","29.200,00","29.000,00","29.024,57","0,08",116,3.366.850,3.366.850
29.11.2023,"29.000,00","29.000,00","29.000,00","29.000,00","0,17",10,290.000,290.000
28.11.2023,"28.949,00","28.950,00","28.949,00","28.949,98","0,49",782,22.638.883,22.638.883
27.11.2023,"28.801,00","28.950,00","28.801,00","28.808,10","-0,32",105,3.024.850,3.024.850
