Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
22.01.2024,"6.201,00","0,00","0,00","6.216,57","0,00",0,0,0
18.01.2024,"6.201,00","6.350,00","6.201,00","6.216,57","-1,64",300,1.864.970,1.864.970
17.01.2024,"6.398,00","6.398,00","6.300,00","6.320,34","1,95",818,5.170.041,5.170.041
16.01.2024,"6.200,00","6.200,00","6.199,00","6.199,46","1,63",35,216.981,216.981
15.01.2024,"6.100,00","6.100,00","6.100,00","6.100,00","1,67",20,122.000,122.000
12.01.2024,"6.000,00","0,00","0,00","6.000,00","0,00",0,0,0
11.01.2024,"6.000,00","6.000,00","6.000,00","6.000,00","4,35",10,60.000,60.000
10.01.2024,"5.750,00","5.750,00","5.750,00","5.750,00","1,41",10,57.500,57.500
09.01.2024,"5.670,00","0,00","0,00","5.670,00","0,00",0,0,0
05.01.2024,"5.670,00","0,00","0,00","5.670,00","0,00",0,0,0
04.01.2024,"5.670,00","0,00","0,00","5.670,00","0,00",0,0,0
03.01.2024,"5.670,00","0,00","0,00","5.670,00","0,00",0,0,0
02.01.2024,"5.670,00","5.670,00","5.670,00","5.670,00","0,09",20,113.400,113.400
28.12.2023,"5.670,00","5.670,00","5.660,00","5.665,15","3,00",33,186.950,186.950
27.12.2023,"5.500,00","0,00","0,00","5.500,00","0,00",0,0,0
26.12.2023,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",70,385.000,385.000
25.12.2023,"5.500,00","0,00","0,00","5.500,00","0,00",0,0,0
22.12.2023,"5.500,00","5.500,00","5.500,00","5.500,00","1,85",50,275.000,275.000
21.12.2023,"5.400,00","0,00","0,00","5.400,00","0,00",0,0,0
20.12.2023,"5.400,00","5.400,00","5.400,00","5.400,00","0,00",10,54.000,54.000
19.12.2023,"5.400,00","5.400,00","5.400,00","5.400,00","1,85",18,97.200,97.200
18.12.2023,"5.360,00","0,00","0,00","5.301,78","0,00",0,0,0
15.12.2023,"5.360,00","0,00","0,00","5.301,78","0,00",0,0,0
14.12.2023,"5.360,00","5.360,00","5.299,00","5.301,78","0,03",534,2.831.150,2.831.150
13.12.2023,"5.300,00","0,00","0,00","5.300,00","0,00",0,0,0
12.12.2023,"5.300,00","0,00","0,00","5.300,00","0,00",0,0,0
11.12.2023,"5.300,00","0,00","0,00","5.300,00","0,00",0,0,0
07.12.2023,"5.300,00","5.300,00","5.300,00","5.300,00","2,81",2,10.600,10.600
06.12.2023,"5.155,00","5.156,00","5.155,00","5.155,30","0,10",53,273.231,273.231
05.12.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
04.12.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
01.12.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
30.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
29.11.2023,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",20,103.000,103.000
28.11.2023,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",37,190.550,190.550
27.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
24.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
23.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
22.11.2023,"5.150,00","5.150,00","5.150,00","5.150,00","1,98",20,103.000,103.000
21.11.2023,"5.050,00","0,00","0,00","5.050,00","0,00",0,0,0
20.11.2023,"5.050,00","0,00","0,00","5.050,00","0,00",0,0,0
17.11.2023,"5.050,00","0,00","0,00","5.050,00","0,00",0,0,0
16.11.2023,"5.050,00","0,00","0,00","5.050,00","0,00",0,0,0
15.11.2023,"5.050,00","0,00","0,00","5.050,00","0,00",0,0,0
14.11.2023,"5.050,00","0,00","0,00","5.050,00","0,00",0,0,0
13.11.2023,"5.050,00","5.050,00","5.050,00","5.050,00","-1,94",10,50.500,50.500
10.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
09.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
08.11.2023,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",55,283.250,283.250
07.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
06.11.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
03.11.2023,"5.150,00","5.150,00","5.150,00","5.150,00","3,00",2,10.300,10.300
02.11.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
01.11.2023,"5.000,00","5.000,00","5.000,00","5.000,00","-2,91",67,335.000,335.000
31.10.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
30.10.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
27.10.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
26.10.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
25.10.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
24.10.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
20.10.2023,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",11,56.650,56.650
19.10.2023,"5.150,00","5.150,00","5.150,00","5.150,00","1,98",23,118.450,118.450
18.10.2023,"5.050,00","0,00","0,00","5.050,00","0,00",0,0,0
17.10.2023,"5.050,00","5.050,00","5.050,00","5.050,00","-1,94",10,50.500,50.500
16.10.2023,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",11,56.650,56.650
13.10.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
12.10.2023,"5.150,00","5.150,00","5.150,00","5.150,00","1,78",17,87.550,87.550
10.10.2023,"5.150,00","5.150,00","5.000,00","5.060,00","1,16",5,25.300,25.300
09.10.2023,"5.000,00","0,00","0,00","5.002,06","0,00",0,0,0
06.10.2023,"5.000,00","0,00","0,00","5.002,06","0,00",0,0,0
05.10.2023,"5.000,00","5.050,00","5.000,00","5.002,06","0,04",243,1.215.500,1.215.500
04.10.2023,"5.000,00","0,00","0,00","4.999,87","0,00",0,0,0
03.10.2023,"5.000,00","0,00","0,00","4.999,87","0,00",0,0,0
02.10.2023,"5.000,00","5.000,00","4.999,00","4.999,87","0,00",237,1.184.970,1.184.970
29.09.2023,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",36,180.000,180.000
28.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
27.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
26.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
25.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
22.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
21.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
20.09.2023,"5.000,00","5.000,00","5.000,00","5.000,00","1,01",39,195.000,195.000
19.09.2023,"4.950,00","0,00","0,00","4.950,00","0,00",0,0,0
18.09.2023,"4.950,00","4.950,00","4.950,00","4.950,00","-1,02",20,99.000,99.000
15.09.2023,"5.000,00","0,00","0,00","5.001,00","0,00",0,0,0
14.09.2023,"5.000,00","0,00","0,00","5.001,00","0,00",0,0,0
13.09.2023,"5.000,00","5.020,00","5.000,00","5.001,00","0,02",1.601,8.006.600,8.006.600
12.09.2023,"5.000,00","0,00","0,00","4.999,98","0,00",0,0,0
11.09.2023,"5.000,00","0,00","0,00","4.999,98","0,00",0,0,0
07.09.2023,"5.000,00","5.000,00","4.999,00","4.999,98","0,00",127,634.997,634.997
06.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
05.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
04.09.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
01.09.2023,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",50,250.000,250.000
31.08.2023,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",30,150.000,150.000
30.08.2023,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",20,100.000,100.000
29.08.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
25.08.2023,"5.000,00","5.000,00","5.000,00","5.000,00","-0,01",70,350.000,350.000
24.08.2023,"5.000,00","5.001,00","5.000,00","5.000,50","-2,88",100,500.050,500.050
23.08.2023,"5.149,00","0,00","0,00","5.149,00","0,00",0,0,0
22.08.2023,"5.149,00","0,00","0,00","5.149,00","0,00",0,0,0
21.08.2023,"5.149,00","5.149,00","5.149,00","5.149,00","-0,02",55,283.195,283.195
18.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
17.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
16.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
15.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
14.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
11.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
10.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
09.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
08.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
07.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
04.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
03.08.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
01.08.2023,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",5,25.750,25.750
31.07.2023,"5.150,00","0,00","0,00","5.150,00","0,00",0,0,0
28.07.2023,"5.150,00","5.150,00","5.150,00","5.150,00","3,00",60,309.000,309.000
27.07.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
26.07.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
25.07.2023,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",29,145.000,145.000
24.07.2023,"5.000,00","0,00","0,00","5.000,00","0,00",0,0,0
21.07.2023,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",30,150.000,150.000
