Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
20.01.2023,"29.850,00","0,00","0,00","29.850,00","0,00",0,0,0
18.01.2023,"29.850,00","0,00","0,00","29.850,00","0,00",0,0,0
17.01.2023,"29.850,00","0,00","0,00","29.850,00","0,00",0,0,0
16.01.2023,"29.850,00","0,00","0,00","29.850,00","0,00",0,0,0
13.01.2023,"29.850,00","0,00","0,00","29.850,00","0,00",0,0,0
12.01.2023,"29.850,00","0,00","0,00","29.850,00","0,00",0,0,0
11.01.2023,"29.850,00","29.850,00","29.850,00","29.850,00","2,93",6,179.100,179.100
10.01.2023,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
09.01.2023,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
05.01.2023,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
04.01.2023,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
03.01.2023,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
29.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
28.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
27.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
26.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
23.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
22.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
21.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
20.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
19.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
16.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
15.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
14.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
13.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
12.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
09.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
07.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
06.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
05.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
02.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
01.12.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
30.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
29.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
28.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
25.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
24.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",14,406.000,406.000
23.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",50,1.450.000,1.450.000
22.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",14,406.000,406.000
21.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",5,145.000,145.000
18.11.2022,"28.999,00","28.999,00","28.999,00","28.999,00","0,00",3,86.997,86.997
17.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
16.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
15.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
14.11.2022,"29.000,00","0,00","0,00","29.000,00","0,00",0,0,0
